hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_graph_topology_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_curvature_upper,p_topology_upper,p_rewire_upper,p_label_upper,p_best_upper,mean_node_curvature,mean_local_clustering,mean_same_community
H128,external_lung,seed42_main,source_disjoint,7,240,116,0.875139043381535,0.8855672969966629,0.010428253615127892,0.008307842046718666,0.002120411568409225,0.08,0.04,0.04,0.12,0.04,-30.99741202018452,0.4884567431838941,0.42916666666666664
H128,external_lung,seed42_main,source_disjoint,11,240,116,0.796718576195773,0.806868743047831,0.01015016685205794,0.06824422969966631,-0.058094062847608374,0.8,0.04,0.04,0.92,0.04,-30.776870227574918,0.48563567953244713,0.21666666666666667
H128,external_lung,seed42_main,target_disjoint,7,240,154,0.9113560857746904,0.9010117789187557,-0.010344306855934682,0.03728103292056767,-0.04762533977650235,0.48,0.6,0.76,0.84,0.48,-32.786719585256286,0.4858033976169469,0.275
H128,external_lung,seed42_main,target_disjoint,11,240,154,0.8572183630323166,0.8540471156750226,-0.003171247357294016,0.0295605557233464,-0.032731803080640415,0.2,0.28,0.28,0.72,0.2,-32.789296699603405,0.48696614100627045,0.42083333333333334
H128,immune,seed42_main,source_disjoint,7,240,59,0.8547616818054126,0.8409963479726565,-0.013765333832756022,0.01982863564004131,-0.03359396947279733,0.84,0.88,0.84,0.6,0.6,-31.529312839874738,0.48369767735567437,0.2708333333333333
H128,immune,seed42_main,source_disjoint,11,240,59,0.807566251521678,0.8416518400599307,0.03408558853825261,0.04148328495177464,-0.007397696413522031,0.72,0.04,0.04,0.12,0.04,-31.81916433752351,0.5027385442915266,0.8208333333333333
H128,immune,seed42_main,target_disjoint,7,240,59,0.8243281206105441,0.8244217623372975,9.364172675341287e-05,0.013601460810937327,-0.013507819084183914,0.24,0.04,0.2,0.32,0.04,-34.85091886380508,0.5055906389202467,0.44166666666666665
H128,immune,seed42_main,target_disjoint,11,240,59,0.7870587133626744,0.7926772169678807,0.005618503605206326,0.05895917220713545,-0.053340668601929125,0.16,0.04,0.04,0.6,0.04,-34.98684811559789,0.5096660294614955,0.3416666666666667
H128,lung,seed42_main,source_disjoint,7,240,115,0.8301217391304347,0.8669217391304348,0.036800000000000055,0.02339130434782616,0.013408695652173896,0.04,0.04,0.04,0.04,0.04,-36.36547770893511,0.5287691137181145,0.5875
H128,lung,seed42_main,source_disjoint,11,240,115,0.7846260869565217,0.8091130434782609,0.024486956521739156,0.04116521739130438,-0.016678260869565226,0.04,0.16,0.08,0.36,0.04,-36.32005625996119,0.5329656331810508,0.20833333333333334
H128,lung,seed42_main,target_disjoint,7,240,148,0.8069183313748531,0.803907168037603,-0.0030111633372501556,0.031855904817861325,-0.03486706815511148,0.84,0.2,0.36,0.64,0.2,-33.229522817837896,0.4956112612964405,0.2916666666666667
H128,lung,seed42_main,target_disjoint,11,240,148,0.7837837837837838,0.7827555816686252,-0.0010282021151585274,0.03383886603995301,-0.034867068155111536,1.0,0.32,0.28,0.48,0.28,-33.10069537986472,0.5218676098372822,0.35833333333333334
