hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_transfer,auc_baseline,delta_vs_h70,alignment_delta_vs_random,q95_null_delta_auc,null_gap_q95,cycle_consistency_error,p_chart_upper,p_cycle_upper,p_random_upper,p_label_upper,p_best_upper
H131,external_lung,seed42_main,source_disjoint,7,260,160,0.55175,0.6371875,-0.08543750000000006,-0.08543750000000006,0.04360156249999987,-0.1290390624999999,6.7756943500854e-16,1.0,0.52,0.28,1.0,0.28
H131,external_lung,seed42_main,source_disjoint,11,260,160,0.689,0.6462812499999999,0.04271875000000003,0.04271875000000003,0.09409375000000017,-0.05137500000000014,5.89049183907763e-16,0.84,0.36,0.08,0.6,0.08
H131,external_lung,seed42_main,target_disjoint,7,260,160,0.5441875,0.604875,-0.060687500000000005,-0.060687500000000005,0.02709375,-0.08778125,6.7756943500854e-16,1.0,0.52,0.2,0.96,0.2
H131,external_lung,seed42_main,target_disjoint,11,260,160,0.5484375,0.6245624999999999,-0.07612499999999989,-0.07612499999999989,0.04368749999999999,-0.11981249999999988,5.89049183907763e-16,1.0,1.0,0.56,1.0,0.56
H131,immune,seed42_main,source_disjoint,7,260,63,0.5413745870598663,0.3187092095721537,0.2226653774877126,0.2226653774877126,0.32555797276609455,-0.10289259527838196,6.977114289993003e-16,1.0,0.68,0.48,0.04,0.04
H131,immune,seed42_main,source_disjoint,11,260,63,0.37829344935943915,0.3900169204737733,-0.011723471114334139,-0.011723471114334139,0.1878172588832487,-0.19954072999758285,6.560629279580289e-16,1.0,0.96,1.0,0.48,0.48
H131,immune,seed42_main,target_disjoint,7,260,67,0.5359987626633671,0.3155208413889104,0.2204779212744567,0.2204779212744567,0.3010594694919186,-0.08058154821746188,6.977114289993003e-16,0.92,0.92,0.52,0.04,0.04
H131,immune,seed42_main,target_disjoint,11,260,67,0.436934498491996,0.3317608846956925,0.10517361379630352,0.10517361379630352,0.2957041218776584,-0.19053050808135485,6.560629279580289e-16,1.0,0.96,0.96,0.4,0.4
H131,lung,seed42_main,source_disjoint,7,260,168,0.5285326086956522,0.6270703933747412,-0.09853778467908902,-0.09853778467908902,0.08410973084886125,-0.18264751552795028,4.626925963416905e-16,1.0,0.92,0.28,1.0,0.28
H131,lung,seed42_main,source_disjoint,11,260,168,0.5182453416149068,0.6854943064182196,-0.16724896480331286,-0.16724896480331286,0.003946687370600471,-0.17119565217391333,5.546066428971098e-16,0.76,0.32,0.16,1.0,0.16
H131,lung,seed42_main,target_disjoint,7,260,168,0.544836956521739,0.6118012422360248,-0.06696428571428581,-0.06696428571428581,0.03796260351966879,-0.1049268892339546,4.626925963416905e-16,1.0,0.72,0.32,1.0,0.32
H131,lung,seed42_main,target_disjoint,11,260,168,0.527044513457557,0.5865683229813664,-0.05952380952380942,-0.05952380952380942,0.030805188923395593,-0.09032899844720502,5.546066428971098e-16,1.0,0.88,0.68,0.96,0.68
