hypothesis_id,domain,seed_tag,split_regime,layer,n_edges_eval,n_positive_eval,auc_h70,auc_chart_fracture_model,delta_vs_h70,q95_null_delta_auc,null_gap_q95,p_basis_upper,p_path_order_upper,p_endpoint_swap_upper,p_label_upper,p_best_upper,mean_fracture_count_gap,mean_fracture_density_gap,mean_max_angle_gap
H132,external_lung,seed42_main,source_disjoint,7,240,116,0.8457313681868744,0.851849276974416,0.006117908787541593,0.021725528364849866,-0.015607619577308274,0.16,0.04,0.16,0.48,0.04,0.0125,0.010416666666666666,0.2833403641103077
H132,external_lung,seed42_main,source_disjoint,11,240,116,0.8302280311457174,0.8543520578420468,0.024124026696329404,0.02721774193548393,-0.0030937152391545264,0.48,0.04,0.04,0.12,0.04,-0.008333333333333333,-0.008333333333333333,-0.27299410993652223
H132,external_lung,seed42_main,target_disjoint,7,240,154,0.830942313500453,0.8300362428269406,-0.0009060706735124491,0.011948807006946588,-0.012854877680459037,0.16,0.36,0.56,0.12,0.12,0.016666666666666666,0.00625,0.36521137705325407
H132,external_lung,seed42_main,target_disjoint,11,240,154,0.8255813953488372,0.8261099365750528,0.0005285412262155953,0.03611069163394745,-0.035582150407731855,0.8,0.84,0.92,0.56,0.56,0.0125,0.008333333333333333,0.3737825331513649
H132,immune,seed42_main,source_disjoint,7,240,59,0.8577582170615226,0.8851952430002809,0.027437025938758297,0.03141679932577965,-0.003979773387021351,0.48,0.04,0.16,0.08,0.04,-0.004166666666666667,-0.004166666666666667,-0.13125640195015623
H132,immune,seed42_main,source_disjoint,11,240,59,0.8488622530199457,0.9068264818803259,0.05796422886038022,0.060679838936229996,-0.002715610075849778,0.36,0.04,0.12,0.08,0.04,0.0125,0.008333333333333333,0.5129665344325032
H132,immune,seed42_main,target_disjoint,7,240,59,0.8658114055623186,0.8536379810843712,-0.012173424477947448,0.004600149826762795,-0.016773574304710243,0.8,0.8,0.92,0.48,0.48,0.0,0.0,5.921189464667501e-17
H132,immune,seed42_main,target_disjoint,11,240,59,0.8621593782189344,0.8458657177638358,-0.016293660455098613,0.005267347129881056,-0.02156100758497967,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.10555268824887647
H132,lung,seed42_main,source_disjoint,7,240,115,0.7572869565217392,0.8187826086956521,0.06149565217391295,0.06507826086956525,-0.0035826086956523007,0.52,0.04,0.04,0.04,0.04,0.0,0.0,0.09907493467048809
H132,lung,seed42_main,source_disjoint,11,240,115,0.7602086956521739,0.7902608695652173,0.03005217391304349,0.044000000000000095,-0.013947826086956605,0.68,0.16,0.24,0.2,0.16,0.020833333333333332,0.016666666666666666,1.0724173838635367
H132,lung,seed42_main,target_disjoint,7,240,148,0.8738249118683901,0.8863836662749706,0.012558754406580497,0.019499118683901362,-0.006940364277320865,0.64,0.04,0.08,0.16,0.04,-0.004166666666666667,-0.004166666666666667,-0.49152585233193863
H132,lung,seed42_main,target_disjoint,11,240,148,0.8784518213866039,0.8840334900117508,0.005581668625146863,0.006591509988249172,-0.0010098413631023095,0.28,0.04,0.04,0.16,0.04,-0.008333333333333333,-0.008333333333333333,-0.4229391628065856
