hypothesis_id,null_kind,domain,seed_tag,split_regime,layer,perm_idx,null_value
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,0,-0.05130700778642938
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,1,-0.049151835372636454
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,2,-0.04560622914349266
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,3,-0.045953837597330405
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,4,-0.04859566184649611
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,5,-0.04664905450500567
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,6,-0.04171301446051168
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,7,-0.03976640711902113
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,8,-0.04275583982202458
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,9,-0.04011401557285876
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,10,-0.05415739710789769
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,11,-0.04873470522803125
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,12,-0.04790044493882095
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,13,-0.04511957730812022
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,14,-0.04324249165739713
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,15,-0.05033370411568405
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,16,-0.04651001112347053
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,17,-0.04560622914349277
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,18,-0.04748331479421586
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,source_disjoint,11,19,-0.05374026696329259
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,0,-0.029145273331319888
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,1,-0.042585321655089214
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,2,-0.036242826940501405
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,3,-0.04069767441860461
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,4,-0.03480821504077314
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,5,-0.034506191482935544
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,6,-0.04334038054968292
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,7,-0.0343551797040168
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,8,-0.02831470854726681
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,9,-0.035336756266988845
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,10,-0.043642404107520294
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,11,-0.03488372093023251
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,12,-0.0304288734521293
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,13,-0.03284506191482939
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,14,-0.03964059196617342
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,15,-0.02937179099969789
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,16,-0.03646934460887952
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,17,-0.038205980066445266
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,18,-0.037073391724554594
H133,axis_rank_permutation_within_degree_bins,external_lung,seed42_main,target_disjoint,11,19,-0.04137722742373906
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,0,-0.033336454724225195
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,1,-0.04185785185878832
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,2,-0.03015263601460816
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,3,-0.03286824609045791
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,4,-0.034834722352280134
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,5,-0.029403502200580744
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,6,-0.02687517557823771
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,7,-0.03230639572993721
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,8,-0.032119112276430384
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,9,-0.03773761588163682
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,10,-0.041764210132034796
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,11,-0.04223241876580208
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,12,-0.03352373817773202
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,13,-0.033055529543964735
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,14,-0.03296188781721132
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,15,-0.03193182882292356
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,16,-0.03080812810188227
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,17,-0.0316509036426631
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,18,-0.027717951119018758
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,source_disjoint,11,19,-0.03240003745669073
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,0,-0.02125667197303116
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,1,-0.02603240003745677
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,2,-0.02603240003745677
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,3,-0.026500608671224057
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,4,-0.022848581327839734
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,5,-0.02809251802603252
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,6,-0.027905234572525583
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,7,-0.023784998595374085
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,8,-0.026406966944470533
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,9,-0.027062459031744646
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,10,-0.028279801479539457
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,11,-0.026781533851484296
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,12,-0.029497143927334046
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,13,-0.027624309392265234
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,14,-0.021163030246277748
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,15,-0.022474014420826083
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,16,-0.02743702593875852
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,17,-0.030714486375128747
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,18,-0.027998876299278996
H133,axis_rank_permutation_within_degree_bins,immune,seed42_main,target_disjoint,11,19,-0.028186159752785933
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,0,-0.02274782608695669
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,1,-0.022469565217391407
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,2,-0.02163478260869578
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,3,-0.01968695652173924
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,4,-0.01746086956521742
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,5,-0.017947826086956553
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,6,-0.023304347826087035
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,7,-0.019408695652173957
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,8,-0.026713043478260978
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,9,-0.02156521739130457
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,10,-0.022260869565217445
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,11,-0.02170434782608699
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,12,-0.026295652173913053
H133,axis_rank_permutation_within_degree_bins,lung,seed42_main,source_disjoint,11,13,-0.02260869565217405
