hypothesis_id,domain,seed_tag,split_regime,layer,neighbors,n_edges_eval,auc_h70,auc_model,delta_vs_h70,delta_swap_null,delta_gain_vs_swap
H140,external_lung,seed42_main,source_disjoint,11,8,220,0.829648033126294,0.845879917184265,0.016231884057971047,-0.015900621118012492,0.03213250517598354
H140,external_lung,seed42_main,source_disjoint,11,12,220,0.8072877846790889,0.8368530020703934,0.029565217391304466,0.0004968944099380534,0.029068322981366412
H140,external_lung,seed42_main,source_disjoint,11,16,220,0.7984265010351967,0.8414906832298137,0.04306418219461694,-0.006956521739130528,0.05002070393374747
H140,external_lung,seed42_main,target_disjoint,11,8,220,0.845890410958904,0.8405220288781933,-0.005368382080710776,-0.027119585338763352,0.021751203258052576
H140,external_lung,seed42_main,target_disjoint,11,12,220,0.8278415401703072,0.8244168826360606,-0.003424657534246589,-0.020455386893742933,0.017030729359496344
H140,external_lung,seed42_main,target_disjoint,11,16,220,0.8276564235468346,0.8153461680858941,-0.012310255460940445,-0.02961865975564615,0.017308404294705704
H140,immune,seed42_main,dual_axis_disjoint,11,8,220,0.8264652014652015,0.9008699633699635,0.07440476190476197,-0.0064102564102564985,0.08081501831501847
H140,immune,seed42_main,dual_axis_disjoint,11,12,220,0.8681318681318682,0.9097985347985349,0.04166666666666674,-0.006982600732600708,0.04864926739926745
H140,immune,seed42_main,dual_axis_disjoint,11,16,220,0.867445054945055,0.8972069597069597,0.029761904761904767,-0.0027472527472527375,0.032509157509157505
H140,immune,seed42_main,source_disjoint,11,8,220,0.8985123966942149,0.8941046831955923,-0.0044077134986225674,0.0016528925619834212,-0.006060606060605989
H140,immune,seed42_main,source_disjoint,11,12,220,0.8986225895316804,0.8624793388429751,-0.036143250688705275,0.008264462809917439,-0.044407713498622714
H140,immune,seed42_main,source_disjoint,11,16,220,0.8715151515151516,0.8524517906336089,-0.0190633608815427,-0.0020936639118457334,-0.016969696969696968
H140,immune,seed42_main,target_disjoint,11,8,220,0.8120110192837465,0.9317906336088154,0.1197796143250689,0.02148760330578514,0.09829201101928375
H140,immune,seed42_main,target_disjoint,11,12,220,0.8096969696969697,0.9494214876033058,0.1397245179063361,0.0030853994490358527,0.13663911845730026
H140,immune,seed42_main,target_disjoint,11,16,220,0.8094765840220386,0.929366391184573,0.11988980716253439,0.00506887052341598,0.11482093663911841
H140,lung,seed42_main,dual_axis_disjoint,11,8,190,0.8399922794827254,0.8121984172939587,-0.02779386218876667,-0.04226983207874924,0.014475969889982565
H140,lung,seed42_main,dual_axis_disjoint,11,12,190,0.8133564948851573,0.7693495464196102,-0.04400694846554709,0.008299556070256675,-0.052306504535803766
H140,lung,seed42_main,dual_axis_disjoint,11,16,190,0.8121984172939588,0.798108473267709,-0.014089944026249857,0.009457633661455245,-0.0235475776877051
H140,lung,seed42_main,source_disjoint,11,8,220,0.7889081742292752,0.8383337465906273,0.049425572361352144,-0.003140755434333453,0.0525663277956856
H140,lung,seed42_main,source_disjoint,11,12,220,0.7790726506322836,0.8404826845193817,0.06141003388709809,-0.015042565501281135,0.07645259938837923
H140,lung,seed42_main,source_disjoint,11,16,220,0.7892387800644681,0.8341185221919167,0.04487974212744861,0.009256963385403827,0.03562277874204478
H140,lung,seed42_main,target_disjoint,11,8,220,0.8428571428571427,0.8602678571428571,0.01741071428571439,0.0009821428571429314,0.01642857142857146
H140,lung,seed42_main,target_disjoint,11,12,220,0.843392857142857,0.854107142857143,0.010714285714285898,-0.03205357142857124,0.042767857142857135
H140,lung,seed42_main,target_disjoint,11,16,220,0.8425892857142857,0.8575,0.014910714285714333,-0.020803571428571366,0.0357142857142857
